Epoch,Train Loss,Test Loss,DR Train Acc,DME Train Acc,Joint Train Acc,DR Test Acc,DME Test Acc,Joint Test Acc
1,2.0914,24.4407,46.97,71.91,39.47,39.81,46.6,7.77
2,1.6552,4.426,54,79.18,44.07,48.54,76.7,46.6
3,1.4141,2.4575,61.02,83.29,52.06,44.66,76.7,40.78
4,1.3012,2.4115,62.47,84.26,54.24,48.54,80.58,44.66
5,1.1837,1.8502,65.62,84.26,56.17,43.69,73.79,33.98
6,1.0963,1.9312,65.13,87.17,58.6,53.4,67.96,42.72
7,1.0479,2.0976,70.7,87.41,62.71,52.43,77.67,45.63
8,0.9149,2.6702,77.72,87.17,68.04,32.04,71.84,28.16
9,0.8011,3.1465,78.21,90.07,71.67,40.78,58.25,29.13
10,0.7373,2.3615,78.69,90.07,70.46,51.46,68.93,43.69
